iter	Passed	Remaining
850	1266	221
851	1267	220
852	1269	218
853	1271	217
854	1272	215
855	1274	214
856	1275	212
857	1276	211
858	1277	209
859	1279	208
860	1280	206
861	1281	205
862	1282	203
863	1285	202
864	1286	200
865	1288	199
866	1289	197
867	1290	196
868	1292	194
869	1293	193
870	1295	191
871	1296	190
872	1298	188
873	1300	187
874	1301	185
875	1302	184
876	1303	182
877	1304	181
878	1305	179
879	1307	178
880	1308	176
881	1309	175
882	1310	173
883	1312	172
884	1313	170
885	1315	169
886	1316	167
887	1317	166
888	1319	164
889	1320	163
890	1321	161
891	1322	160
892	1324	158
893	1326	157
894	1327	155
895	1328	154
896	1330	152
897	1331	151
898	1332	149
899	1333	148
900	1334	146
901	1336	145
902	1337	143
903	1338	142
904	1339	140
905	1341	139
906	1342	137
907	1343	136
908	1345	134
909	1346	133
910	1347	131
911	1348	130
912	1350	128
913	1351	127
914	1352	125
915	1354	124
916	1356	122
917	1357	121
918	1358	119
919	1360	118
920	1361	116
921	1363	115
922	1364	113
923	1366	112
924	1367	110
925	1368	109
926	1370	107
927	1371	106
928	1372	104
929	1373	103
930	1374	101
931	1376	100
932	1377	98
933	1378	97
934	1379	95
935	1380	94
936	1382	92
937	1383	91
938	1384	89
939	1386	88
940	1387	86
941	1388	85
942	1390	84
943	1391	82
944	1392	81
945	1394	79
946	1396	78
947	1397	76
948	1399	75
949	1401	73
950	1402	72
951	1404	70
952	1405	69
953	1406	67
954	1408	66
955	1409	64
956	1410	63
957	1411	61
958	1413	60
959	1414	58
960	1415	57
961	1417	55
962	1418	54
963	1420	53
964	1421	51
965	1422	50
966	1423	48
967	1425	47
968	1426	45
969	1427	44
970	1429	42
971	1430	41
972	1432	39
973	1433	38
974	1434	36
975	1435	35
976	1437	33
977	1438	32
978	1439	30
979	1440	29
980	1442	27
981	1443	26
982	1445	24
983	1446	23
984	1448	22
985	1449	20
986	1450	19
987	1451	17
988	1452	16
989	1454	14
990	1455	13
991	1456	11
992	1458	10
993	1459	8
994	1461	7
995	1462	5
996	1463	4
997	1465	2
998	1466	1
999	1467	0
